Draft_Year,ID.Pick,Round,Round.Pick,Pick,Draft_Franchise,Franchise,Player_Name,Height,Player_Height,Height_Inches,Player_Weight_LBS,Player_College,Player_Birthday
2012,1.1,1,1,1,Hornets,Hornets,Anthony Davis,6'10'',6.8333306,82,222,Kentucky,3/11/93
2012,1.2,1,2,2,Bobcats,Bobcats,Michael Kidd-Gilchrist,6'7'',6.5833307,79,233,Kentucky,9/28/93
2012,1.3,1,3,3,Wizards,Wizards,Bradley Beal,6'5'',6.4166641,77,202,Florida,6/28/93
2012,1.4,1,4,4,Cavaliers,Cavaliers,Dion Waiters,6'4'',6.3333308,76,221,Syracuse,12/1/91
2012,1.5,1,5,5,Kings,Kings,Thomas Robinson,6'9'',6.7499973,81,244,Kansas,3/17/91
2012,1.6,1,6,6,Trail Blazers,Trail Blazers,Damian Lillard,6'3'',6.2499975,75,189,Weber State,7/15/90
2012,1.7,1,7,7,Warriors,Warriors,Harrison Barnes,6'8'',6.666664,80,228,North Carolina,5/30/92
2012,1.8,1,8,8,Raptors,Raptors,Terrence Ross,6'7'',6.5833307,79,197,Washington,2/5/91
2012,1.9,1,9,9,Pistons,Pistons,Andre Drummond,7'0'',6.9999972,84,279,Connecticut,8/10/93
2012,1.1,1,1,10,Hornets,Hornets,Austin Rivers,6'5'',6.4166641,77,203,Duke,8/1/92
2012,1.11,1,11,11,Trail Blazers,Trail Blazers,Meyers Leonard,7'1'',7.0833305,85,250,Illinois,2/27/92
2012,1.12,1,12,12,Rockets,Rockets,Jeremy Lamb,6'5'',6.4166641,77,179,Connecticut,5/30/92
2012,1.13,1,13,13,Suns,Suns,Kendall Marshall,6'4'',6.3333308,76,198,North Carolina,9/19/91
2012,1.14,1,14,14,Bucks,Bucks,John Henson,6'10'',6.8333306,82,216,North Carolina,12/28/90
2012,1.15,1,15,15,76ers,76ers,Moe Harkless,6'9'',6.7499973,81,207,St. John's,5/11/93
2012,1.16,1,16,16,Rockets,Rockets,Royce White,6'8'',6.666664,80,261,Iowa State,4/10/91
2012,1.17,1,17,17,Mavericks,Cavaliers,Tyler Zeller,7'0'',6.9999972,84,247,North Carolina,1/17/90
2012,1.18,1,18,18,Rockets,Rockets,Terrence Jones,6'9'',6.7499973,81,252,Kentucky,1/9/92
2012,1.19,1,19,19,Magic,Magic,Andrew Nicholson,6'9'',6.7499973,81,234,St. Bonaventure,12/8/89
2012,1.2,1,2,20,Nuggets,Nuggets,Evan Fournier,6'7'',6.5833307,79,204,Poitiers,10/29/92
2012,1.21,1,21,21,Celtics,Celtics,Jared Sullinger,6'9'',6.7499973,81,268,Ohio State,3/4/92
2012,1.22,1,22,22,Celtics,Celtics,Fab Melo,7'0'',6.9999972,84,255,Syracuse,6/20/90
2012,1.23,1,23,23,Hawks,Hawks,John Jenkins,6'4'',6.3333308,76,212,Vanderbilt,3/6/91
2012,1.24,1,24,24,Cavaliers,Mavericks,Jared Cunningham,6'5'',6.4166641,77,188,Oregon State,5/22/91
2012,1.25,1,25,25,Grizzlies,Grizzlies,Tony Wroten,6'6'',6.4999974,78,203,Washington,4/14/93
2012,1.26,1,26,26,Pacers,Pacers,Miles Plumlee,7'0'',6.9999972,84,252,Duke,9/1/88
2012,1.27,1,27,27,Heat,76ers,Arnett Moultrie,6'11'',6.9166639,83,233,Mississippi St.,11/18/90
2012,1.28,1,28,28,Thunder,Thunder,Perry Jones,6'11'',6.9166639,83,234,Baylor,9/24/91
2012,1.29,1,29,29,Bulls,Bulls,Marquis Teague,6'2'',6.1666642,74,180,Kentucky,2/28/93
2012,1.3,1,3,30,Warriors,Warriors,Festus Ezeli,6'11'',6.9166639,83,264,Vanderbilt,10/21/89
2012,2.1,2,1,31,Bobcats,Bobcats,Jeff Taylor,6'7'',6.5833307,79,213,Vanderbilt,5/23/89
2012,2.2,2,2,32,Wizards,Wizards,Tomas Satoransky,6'7'',6.5833307,79,201,Sevilla,10/30/91
2012,2.3,2,3,33,Cavaliers,Mavericks,Bernard James,6'10'',6.8333306,82,230,Florida State,2/7/85
2012,2.4,2,4,34,Cavaliers,Mavericks,Jae Crowder,6'6'',6.4999974,78,241,Marquette,7/6/90
2012,2.5,2,5,35,Warriors,Warriors,Draymond Green,6'7'',6.5833307,79,236,Michigan State,3/4/90
2012,2.6,2,6,36,Kings,Kings,Orlando Johnson,6'5'',6.4166641,77,224,UC Santa Barbara,3/11/89
2012,2.7,2,7,37,Raptors,Raptors,Quincy Acy,6'8'',6.666664,80,224,Baylor,10/6/90
2012,2.8,2,8,38,Nuggets,Nuggets,Quincy Miller,6'10'',6.8333306,82,219,Baylor,11/18/92
2012,2.9,2,9,39,Pistons,Pistons,Khris Middleton,6'8'',6.666664,80,216,Texas A&M,8/12/91
2012,2.1,2,1,40,Trail Blazers,Trail Blazers,Will Barton,6'6'',6.4999974,78,174,Memphis,1/6/91
2012,2.11,2,11,41,Trail Blazers,Nets,Tyshawn Taylor,6'4'',6.3333308,76,177,Kansas,4/12/90
2012,2.12,2,12,42,Bucks,Bucks,Doron Lamb,6'5'',6.4166641,77,199,Kentucky,11/6/91
2012,2.13,2,13,43,Hawks,Hawks,Mike Scott,6'9'',6.7499973,81,241,Virginia,7/16/88
2012,2.14,2,14,44,Pistons,Pistons,Kim English,6'6'',6.4999974,78,192,Missouri,9/24/88
2012,2.15,2,15,45,76ers,76ers,Justin Hamilton,6'11'',6.9166639,83,264,LSU,4/1/90
2012,2.16,2,16,46,Hornets,Hornets,Darius Miller,6'7'',6.5833307,79,233,Kentucky,3/21/90
2012,2.17,2,17,47,Jazz,Jazz,Kevin Murphy,6'6'',6.4999974,78,194,Tennessee Tech,3/6/90
2012,2.18,2,18,48,Knicks,Knicks,Kostas Papanikolaou,6'8'',6.666664,80,230,Olympiakos,7/31/90
2012,2.19,2,19,49,Magic,Magic,Kyle O'Quinn,6'10'',6.8333306,82,241,Norfolk State,3/26/90
2012,2.2,2,2,50,Nuggets,Nuggets,Izzet Turkyilmaz,7'1'',7.0833305,85,211,Banvit,5/20/90
2012,2.21,2,21,51,Celtics,Celtics,Kris Joseph,6'7'',6.5833307,79,215,Syracuse,12/17/88
2012,2.22,2,22,52,Warriors,Warriors,Ognjen Kuzmic,7'1'',7.0833305,85,231,Malaga,5/16/90
2012,2.23,2,23,53,Clippers,Clippers,Furkan Aldemir,6'9'',6.7499973,81,220,Galatasaray,8/9/91
2012,2.24,2,24,54,76ers,Nets,Tornike Shengelia,6'9'',6.7499973,81,228,Charleroi,10/5/91
2012,2.25,2,25,55,Mavericks,Lakers,Darius Johnson-Odom,6'3'',6.2499975,75,212,Marquette,9/28/89
2012,2.26,2,26,56,Raptors,Raptors,Tomislav Zubcic,6'11'',6.9166639,83,229,Cibona Zagreb,1/7/90
2012,2.27,2,27,57,Nets,Nets,Ilkan Karaman,6'9'',6.7499973,81,236,Karsiyaka,5/13/90
2012,2.28,2,28,58,Timberwolves,Timberwolves,Robbie Hummel,6'8'',6.666664,80,218,Purdue,3/8/89
2012,2.29,2,29,59,Spurs,Spurs,Marcus Denmon,6'3'',6.2499975,75,188,Missouri,3/20/90
2012,2.3,2,3,60,Lakers,Lakers,Robert Sacre,7'0'',6.9999972,84,263,Gonzaga,6/6/89
2011,1.1,1,1,1,Cavaliers,Cavaliers,Kyrie Irving,6'3'',6.2499975,75,190,Duke,3/23/92
2011,1.2,1,2,2,Timberwolves,Timberwolves,Derrick Williams,6'9'',6.7499973,81,250,Arizona,5/25/91
2011,1.3,1,3,3,Jazz,Jazz,Enes Kanter,6'11'',6.9166639,83,260,Kentucky,5/20/92
2011,1.4,1,4,4,Cavaliers,Cavaliers,Tristan Thompson,6'9'',6.7499973,81,230,Texas,3/13/91
2011,1.5,1,5,5,Raptors,Raptors,Jonas Valanciunas,6'11'',6.9166639,83,240,LietuvosRytas,5/6/92
2011,1.6,1,6,6,Wizards,Wizards,Jan Vesely,6'11'',6.9166639,83,240,KKPartizanBelgrade,4/24/90
2011,1.7,1,7,7,Kings,Bobcats,Bismack Biyombo,6'9'',6.7499973,81,240,BaloncestoFuenlabrada,8/28/92
2011,1.8,1,8,8,Pistons,Pistons,Brandon Knight,6'3'',6.2499975,75,180,Kentucky,12/2/91
2011,1.9,1,9,9,Bobcats,Bobcats,Kemba Walker,6'1'',6.0833309,73,185,Connecticut,5/8/90
2011,1.1,1,1,10,Bucks,Kings,Jimmer Fredette,6'2'',6.1666642,74,195,BYU,2/25/89
2011,1.11,1,11,11,Warriors,Warriors,Klay Thompson,6'7'',6.5833307,79,205,WashingtonState,2/8/90
2011,1.12,1,12,12,Jazz,Jazz,Alec Burks,6'6'',6.4999974,78,195,Colorado,7/20/91
2011,1.13,1,13,13,Suns,Suns,Markieff Morris,6'10'',6.8333306,82,240,Kansas,9/2/89
2011,1.14,1,14,14,Rockets,Rockets,Marcus Morris,6'9'',6.7499973,81,230,Kansas,9/2/89
2011,1.15,1,15,15,Pacers,Spurs,Kawhi Leonard,6'7'',6.5833307,79,225,SanDiegoState,6/29/91
2011,1.16,1,16,16,76ers,76ers,Nikola Vucevic,7'0'',6.9999972,84,260,USC,10/24/90
2011,1.17,1,17,17,Knicks,Knicks,Iman Shumpert,6'6'',6.4999974,78,220,GeorgiaTech,6/26/90
2011,1.18,1,18,18,Hawks,Wizards,Chris Singleton,6'9'',6.7499973,81,230,FloridaState,11/21/89
2011,1.19,1,19,19,Hornets,Bucks,Tobias Harris,6'8'',6.666664,80,225,Tennessee,7/15/92
2011,1.2,1,2,20,Timberwolves,Rockets,Donatas Motiejunas,7'0'',6.9999972,84,215,BenettonTreviso,9/20/90
2011,1.21,1,21,21,Trail Blazers,Trail Blazers,Nolan Smith,6'4'',6.3333308,76,190,Duke,7/25/88
2011,1.22,1,22,22,Nuggets,Nuggets,Kenneth Faried,6'8'',6.666664,80,225,MoreheadState,11/19/89
2011,1.23,1,23,23,Magic,Bulls,Nikola Mirotic,6'10'',6.8333306,82,210,RealMadrid,2/11/91
2011,1.24,1,24,24,Thunder,Thunder,Reggie Jackson,6'3'',6.2499975,75,208,BostonCollege,4/16/90
2011,1.25,1,25,25,Celtics,Nets,Marshon Brooks,6'5'',6.4166641,77,195,Providence,1/26/89
2011,1.26,1,26,26,Mavericks,Nuggets,Jordan Hamilton,6'8'',6.666664,80,230,Texas,10/6/90
2011,1.27,1,27,27,Nets,Celtics,JaJuan Johnson,6'10'',6.8333306,82,220,Purdue,2/8/89
2011,1.28,1,28,28,Bulls,Heat,Norris Cole,6'2'',6.1666642,74,175,ClevelandSt.,10/13/88
2011,1.29,1,29,29,Spurs,Spurs,Cory Joseph,6'3'',6.2499975,75,185,Texas,9/20/91
2011,1.3,1,3,30,Bulls,Bulls,Jimmy Butler,6'8'',6.666664,80,220,Marquette,9/14/89
2011,2.1,2,1,31,Timberwolves,Nets,Bojan Bogdanovic,6'7'',6.5833307,79,216,CibonaVIPZagreb,4/18/89
2011,2.2,2,2,32,Cavaliers,Magic,Justin Harper,6'9'',6.7499973,81,230,Richmond,8/30/89
2011,2.3,2,3,33,Raptors,Pistons,Kyle Singler,6'9'',6.7499973,81,225,Duke,5/4/88
2011,2.4,2,4,34,Wizards,Wizards,Shelvin Mack,6'2'',6.1666642,74,210,Butler,4/22/90
2011,2.5,2,5,35,Kings,Kings,Tyler Honeycutt,6'8'',6.666664,80,190,UCLA,7/15/90
2011,2.6,2,6,36,Nets,Nets,Jordan Williams,6'9'',6.7499973,81,250,Maryland,10/11/90
2011,2.7,2,7,37,Pistons,Clippers,Trey Thompkins,6'10'',6.8333306,82,240,Georgia,5/29/90
2011,2.8,2,8,38,Clippers,Rockets,Chandler Parsons,6'10'',6.8333306,82,220,Florida,10/25/88
2011,2.9,2,9,39,Bobcats,Warriors,Jeremy Tyler,6'11'',6.9166639,83,260,TokyoApache,6/12/91
2011,2.1,2,1,40,Bucks,Bucks,Jon Leuer,6'11'',6.9166639,83,225,Wisconsin,5/14/89
2011,2.11,2,11,41,Warriors,Lakers,Darius Morris,6'5'',6.4166641,77,190,Michigan,1/3/91
2011,2.12,2,12,42,Pacers,Spurs,Davis Bertans,6'10'',6.8333306,82,210,UnionOlimpijaLjubljana,11/12/92
2011,2.13,2,13,43,Bulls,Timberwolves,Malcolm Lee,6'5'',6.4166641,77,200,UCLA,5/22/90
2011,2.14,2,14,44,Suns,Warriors,Charles Jenkins,6'3'',6.2499975,75,220,Hofstra,2/28/89
2011,2.15,2,15,45,76ers,Knicks,Josh Harrellson,6'8'',6.666664,80,279,Kentucky,2/12/89
2011,2.16,2,16,46,Knicks,Lakers,Andrew Goudelock,6'3'',6.2499975,75,200,CollOfCharltn,12/7/88
2011,2.17,2,17,47,Rockets,Clippers,Travis Leslie,6'4'',6.3333308,76,205,Georgia,3/29/90
2011,2.18,2,18,48,Hawks,Hawks,Keith Benson,6'11'',6.9166639,83,220,Oakland,8/13/88
2011,2.19,2,19,49,Grizzlies,Grizzlies,Josh Selby,6'3'',6.2499975,75,195,Kansas,3/27/91
2011,2.2,2,2,50,Hornets,76ers,Lavoy Allen,6'9'',6.7499973,81,225,Temple,2/4/89
2011,2.21,2,21,51,Trail Blazers,Trail Blazers,Jon Diebler,6'6'',6.4999974,78,200,Ohio State,6/22/88
2011,2.22,2,22,52,Nuggets,Pistons,Vernon Macklin,6'9'',6.7499973,81,245,Florida,9/26/86
2011,2.23,2,23,53,Magic,Magic,DeAndre Liggins,6'6'',6.4999974,78,205,Kentucky,3/31/88
2011,2.24,2,24,54,Thunder,Cavaliers,Milan Macvan,6'9'',6.7499973,81,265,KK Hemofarm,11/16/89
2011,2.25,2,25,55,Celtics,Celtics,E'Twaun Moore,6'4'',6.3333308,76,191,Purdue,2/28/89
2011,2.26,2,26,56,Lakers,Nuggets,Chu Chu Maduabum,,NA,NA,NA,,
2011,2.27,2,27,57,Mavericks,Timberwolves,Tanguy Ngombo,6'6'',6.4999974,78,230,AL-RAYYAN (QATAR),7/10/89
2011,2.28,2,28,58,Heat,Lakers,Ater Majok,6'10'',6.8333306,82,225,FMV ISIKSPOR ISTANBUL,7/4/87
2011,2.29,2,29,59,Spurs,Spurs,Adam Hanga,6'7'',6.5833307,79,200,ALBACOMP (HUNGARY),4/12/89
2011,2.3,2,3,60,Bulls,Kings,Isaiah Thomas,5'10'',5.833331,70,190,Washington,2/7/89
2010,1.1,1,1,1,Wizards,Wizards,John Wall,6'4'',6.3333308,76,195,Kentucky,9/6/90
2010,1.2,1,2,2,76ers,76ers,Evan Turner,6'7'',6.5833307,79,205,Ohio State,10/27/88
2010,1.3,1,3,3,Nets,Nets,Derrick Favors,6'10'',6.8333306,82,246,Georgia Tech,7/15/91
2010,1.4,1,4,4,Timberwolves,Timberwolves,Wesley Johnson,6'7'',6.5833307,79,195,Syracuse,7/11/87
2010,1.5,1,5,5,Kings,Kings,DeMarcus Cousins,6'11'',6.9166639,83,270,Kentucky,8/13/90
2010,1.6,1,6,6,Warriors,Warriors,Ekpe Udoh,6'10'',6.8333306,82,240,Baylor,5/20/87
2010,1.7,1,7,7,Pistons,Pistons,Greg Monroe,6'11'',6.9166639,83,240,Georgetown,6/4/90
2010,1.8,1,8,8,Clippers,Clippers,Al-Farouq Aminu,6'8'',6.666664,80,210,Wake Forest,9/21/90
2010,1.9,1,9,9,Jazz,Jazz,Gordon Hayward,6'8'',6.666664,80,200,Butler,3/23/90
2010,1.1,1,1,10,Pacers,Pacers,Paul George,6'9'',6.7499973,81,215,Fresno State,5/2/90
2010,1.11,1,11,11,Hornets,Thunder,Cole Aldrich,6'11'',6.9166639,83,250,Kansas,10/31/88
2010,1.12,1,12,12,Grizzlies,Grizzlies,Xavier Henry,6'6'',6.4999974,78,210,Kansas,3/15/91
2010,1.13,1,13,13,Raptors,Raptors,Ed Davis,6'9'',6.7499973,81,215,North Carolina,6/5/89
2010,1.14,1,14,14,Rockets,Rockets,Patrick Patterson,6'8'',6.666664,80,223,Kentucky,3/14/89
2010,1.15,1,15,15,Bucks,Bucks,Larry Sanders,6'9'',6.7499973,81,205,VCU,11/21/88
2010,1.16,1,16,16,Timberwolves,Trail Blazers,Luke Babbitt,6'7'',6.5833307,79,215,Nevada,6/20/89
2010,1.17,1,17,17,Bulls,Wizards,Kevin Seraphin,6'9'',6.7499973,81,258,Cholet,12/7/89
2010,1.18,1,18,18,Thunder,Clippers,Eric Bledsoe,6'1'',6.0833309,73,190,Kentucky,10/23/90
2010,1.19,1,19,19,Celtics,Celtics,Avery Bradley,6'3'',6.2499975,75,180,Texas,11/26/90
2010,1.2,1,2,20,Spurs,Spurs,James Anderson,6'6'',6.4999974,78,195,Oklahoma State,3/25/89
2010,1.21,1,21,21,Thunder,Hornets,Craig Brackins,6'10'',6.8333306,82,230,Iowa State,10/9/87
2010,1.22,1,22,22,Trail Blazers,Trail Blazers,Elliot Williams,6'4'',6.3333308,76,175,Memphis,6/20/89
2010,1.23,1,23,23,Timberwolves,Wizards,Trevor Booker,6'7'',6.5833307,79,215,Clemson,11/25/87
2010,1.24,1,24,24,Hawks,Nets,Damion James,6'7'',6.5833307,79,225,Texas,10/7/87
2010,1.25,1,25,25,Grizzlies,Mavericks,Dominique Jones,6'4'',6.3333308,76,205,South Florida,10/15/88
2010,1.26,1,26,26,Thunder,Hornets,Quincy Pondexter,6'6'',6.4999974,78,220,Washington,3/10/88
2010,1.27,1,27,27,Nets,Hawks,Jordan Crawford,6'4'',6.3333308,76,195,Xavier,10/23/88
2010,1.28,1,28,28,Grizzlies,Grizzlies,Greivis Vasquez,6'5'',6.4166641,77,195,Maryland,1/16/87
